drug,pair_cell_count
IVABRADINE HCL,7
IVACAFTOR (VX-770),7
JNJ-26854165 (SERDEMETAN),7
JZL184,7
KAEMPFEROL,7
KETOCONAZOLE,7
KETOPROFEN,7
KETOROLAC,7
KINETIN,7
KW-2478,7
L-THYROXINE,7
LAQUINIMOD,7
LEVOFLOXACIN,7
LEVOSIMENDAN,7
LGK-974,7
LINAGLIPTIN,7
LINEZOLID,7
LINIFANIB (ABT-869),7
LOMIBUVIR,7
LONAFARNIB,7
LORNOXICAM,7
LOTEPREDNOL ETABONATE,7
LOVASTATIN,7
LY2109761,7
MACITENTAN,7
MALOTILATE,7
MASITINIB (AB1010),7
MECARBINATE,7
MEGLUMINE,7
MELATONIN,7
MELOXICAM,7
MEPREDNISONE,7
MESNA,7
METOLAZONE,7
MG-132,7
MGCD-265,7
MIRTAZAPINE,7
MK-2461,7
MK-8245,7
MONOBENZONE,7
MORIN HYDRATE,7
MYRICETIN,7
NARINGENIN,7
NCGC00021305-08,7
NEFIRACETAM,7
NELARABINE,7
NICORANDIL,7
NIMESULIDE,7
NOCODAZOLE,7
NOVOBIOCIN SODIUM,7
NSC 23766,7
NU7441 (KU-57788),7
NVP-231,7
NVP-AEW541,7
NVP-BHG712,7
OXFENDAZOLE,7
OXIBENDAZOLE,7
OXYMATRINE,7
PA-824,7
PALOMID 529 (P529),7
PCI-34051,7
PD173074,7
PF-477736,7
PF-5274857,7
PHA-665752,7
PHA-680632,7
PHLORETIN,7
PHT-427,7
PIK-293,7
PIK-294,7
PIMOBENDAN,7
PIRARUBICIN,7
PIROXICAM,7
PMSF,7
PNU-120596,7
POMALIDOMIDE,7
PRASUGREL,7
PROGESTERONE,7
PRUCALOPRIDE,7
PURMORPHAMINE,7
QUIZARTINIB (AC220),7
R406 (FREE BASE),7
RACECADOTRIL,7
RASAGILINE MESYLATE,7
REBAMIPIDE,7
REGORAFENIB (BAY 73-4506),7
REPAGLINIDE,7
REPSOX,7
RG108,7
RIMANTADINE,7
RIMONABANT,7
ROFECOXIB,7
ROFLUMILAST,7
ROLIPRAM,7
ROLOFYLLINE,7
RUBOXISTAURIN MESYLATE,7
SARACATINIB (AZD0530),7
SB203580,7
SB431542,7
SB525334,7
SECNIDAZOLE,7
SGI-1776 FREE BASE,7
SINOMENINE,7
SMI-4A,7
SODIUM DANSHENSU,7
SOPHOCARPINE,7
SPARFLOXACIN,7
STF-62247,7
SULFAMETHIZOLE,7
SULFAMETHOXAZOLE,7
SULFANILAMIDE,7
SYNEPHRINE,7
TADALAFIL,7
TAE684 (NVP-TAE684),7
TAK-285,7
TAK-715,7
TAK-875,7
TAK-901,7
TAME,7
TAMIBAROTENE,7
TANDUTINIB (MLN518),7
TANSHINONE IIA,7
TAZAROTENE,7
TELBIVUDINE,7
STF-083010,7
TG101348 (SAR302503),7
TIVOZANIB (AV-951),7
TORIN 1,7
TOSEDOSTAT (CHR2797),7
VX-680,7
WNT-C59 (C59),7
WZ4002,7
XAV-939,7
XL335,7
ZIBOTENTAN (ZD4054),7
SURAMIN,7
TEMPOL,7
TENOXICAM,7
TGX-221,7
THEOBROMINE,7
THIAZOVIVIN,7
TIGECYCLINE,7
TIOCONAZOLE,7
TIOPRONIN,7
TIOXOLONE,7
TOLCAPONE,7
TOLNAFTATE,7
TORCETRAPIB,7
TPCA-1,7
TRIAMCINOLONE ACETONIDE,7
TRICHLORMETHIAZIDE,7
TRIMETREXATE,7
VE-821,7
VIDARABINE,7
VORICONAZOLE,7
SALIRASIB,7
SEOCALCITOL,7
SJ-172550,7
SSR-504734,7
VATALANIB,7
VORAPAXAR,7
SAG,7
(-)-GOSSYPOL,6
(-)-INDOLACTAM V,6
10-HYDROXYCAMPTOTHECIN,6
10058-F4,6
10074-G5,6
1062368-24-4,6
1080622-86-1,6
1202884-94-3,6
1221186-53-3,6
1265789-88-5,6
153559-76-3,6
2-IMINOBIOTIN,6
2-METHOXYESTRADIOL (2-MEOE2),6
20-HYDROXYECDYSONE,6
215303-72-3,6
252003-65-9,6
301836-43-1,6
317318-70-0,6
35922-06-6,6
"4-[4-(4-METHOXYPHENYL)-5-METHYL-1H-PYRAZOL-3-YL]BENZENE-1,3-DIOL",6
502137-98-6,6
6-MERCAPTOPURINE,6
626222-24-0,6
868224-64-0,6
909910-43-6,6
925434-55-5,6
944328-88-5,6
952021-60-2,6
A-443654,6
A-770041,6
A-83-01,6
AC-SAH-P53-8,6
AC1NPCOI,6
AC1O7H3F,6
ACC1 BMS,6
ACETAMINOPHEN,6
ACETYLCYSTEINE,6
ACITAZANOLAST,6
ADENOSINE,6
AGI-6780,6
AHPN,6
AIM-100,6
AK-7,6
AKT INHIBITOR VIII,6
ALISKIREN HEMIFUMARATE,6
ALMOTRIPTAN,6
ALPROSTADIL,6
AMASTATIN,6
AMG-1,6
AMG-208,6
AMG-25,6
AMINOPTERIN,6
AMLEXANOX,6
AMOXICILLIN SODIUM,6
AMPHOTERICIN B,6
AMUVATINIB,6
ANDROGRAPHOLIDE,6
ANTIMYCIN A,6
APR-246,6
AR-00341677,6
ARBIDOL,6
AS-252424,6
AS-605240,6
ASIATIC ACID,6
AST-487,6
ASTRAGALOSIDE A,6
AT-406,6
ATORVASTATIN CALCIUM,6
ATROPINE,6
AZ-628,6
AZD-1480,6
AZD-26,6
AZD-6482,6
AZD-7545,6
AZD7545,6
BAG-956,6
BANOXANTRONE,6
BARICITINIB,6
BAY-60-7550,6
BAYER-18,6
BDBM30026,6
BESTATIN,6
BETAMETHASONE DIPROPIONATE,6
BETAMETHASONE VALERATE,6
BETAXOLOL,6
BETHANECHOL CHLORIDE,6
BETULINIC ACID,6
BI-2536,6
BIPERIDEN,6
BML-277,6
BMS-345541,6
BMS-536924,6
BMS-911543,6
BOSUTINIB,6
BP-1-102,6
BRIVANIB,6
BS-181,6
BUTOCONAZOLE NITRATE,6
C-FMS INHIBITOR,6
CALCITRIOL,6
CAMOSTAT,6
CANAGLIFLOZIN,6
CANERTINIB,6
CAP-232,6
CAPECITABINE,6
CARBAZOCHROME SODIUM SULFONATE,6
CARBIDOPA,6
CASIN,6
CAY-10581,6
CAY-10626,6
CAY10505,6
CAY10603,6
CC-401,6
CCT 018159,6
CCT-018159,6
CD 437,6
CDIBA,6
CDK9 INHIBITOR,6
CEDIRANIB,6
CEPHALOMANNINE,6
CGI-1746,6
CHEMBL1221434,6
CHEMBL1288002,6
CHEMBL166161,6
CHEMBL1824695,6
CHEMBL213634,6
CHEMBL2142962,6
CHEMBL2143037,6
CHEMBL2143157,6
CHEMBL2426174,6
CHEMBL256963,6
CHEMBL3348950,6
CHEMBL3349015,6
CHEMBL371226,6
CHEMBL39740,6
CHEMBL63426,6
CHENODEOXYCHOLIC ACID,6
CHIR-99021,6
CIDOFOVIR,6
CL-82198,6
COENZYME Q10,6
CORTISONE ACETATE,6
CT-99021,6
CURCUMOL,6
CUTAMESINE,6
CUTAMESINE HYDROCHLORIDE,6
CVT-6883,6
CX-5461,6
CYC-116,6
CYPROTERONE ACETATE,6
D-4476,6
D-NMAPPD,6
DA-3003-1,6
DABIGATRAN,6
DAMINOZIDE,6
DAPTOMYCIN,6
DCC-2036,6
DE-096,6
DEFLAZACORT,6
DEGRASYN,6
DEMECOLCINE,6
DICLOFENAC SODIUM,6
DIENOGEST,6
DIETHYLSTILBESTROL,6
DIMETHYL FUMARATE,6
DIOSCIN,6
DIOSMIN,6
DORAMAPIMOD,6
DOXIFLURIDINE,6
DROSPIRENONE,6
ECONAZOLE NITRATE,6
ELLAGIC ACID,6
EMRICASAN,6
ENALAPRIL MALEATE,6
ENMD-981693,6
ENOXOLONE,6
ENZALUTAMIDE,6
EPALRESTAT,6
ERTEBEREL,6
ERYTHROMYCIN,6
ESTRADIOL,6
ESTRIOL,6
ESTRONE,6
ETHOSUXIMIDE,6
FASN BI,6
FASN MRK,6
FENOLDOPAM,6
FILGOTINIB,6
FINASTERIDE,6
FLUDARABINE PHOSPHATE,6
FLUOCINONIDE,6
FLUPIRTINE MALEATE,6
FMK,6
FORETINIB,6
FOTEMUSTINE,6
GALLAMINE TRIETHIODIDE,6
GB-83,6
GDC-0349,6
GEDATOLISIB,6
GENIPOSIDIC ACID,6
GESTODENE,6
GIVINOSTAT (ITF2357),6
GLS-968,6
GLUTAMINASE C-IN-1,6
GNE-477,6
GNE-490,6
GNE-493,6
GR-159897,6
GSI-IX,6
GSK-1016790A,6
GSK-1904529A,6
GSK-1995010,6
GSK-25,6
GSK-269962A,6
GSK-3965,6
GSK-4112,6
GSK-650394,6
GSK-837149A,6
GSK-J1,6
GSK1016790A,6
GSK269962A,6
GSK4112,6
GSK837149A,6
GW-4064X,6
GW-4869,6
GW-7647,6
GW-791343,6
GW-843682X,6
GW-9508,6
GW3965,6
GW7647,6
GW843682X,6
HC 067047,6
HC-067047,6
HG-10-102-01,6
HH-AG1.5,6
HLI-373989,6
HYDROXOCOBALAMIN,6
IBUTAMOREN MESILATE,6
ICARIIN,6
ICARITIN,6
ICI-D7288,6
ICRF-193,6
IDH-001,6
IDOXURIDINE,6
IKK-16,6
IMEXON,6
INDIBULIN,6
INIPARIB,6
IPFK2,6
IRAK INHIBITOR 5,6
IRESTATIN 9389,6
IRSOGLADINE MALEATE,6
ISOLIQUIRITIGENIN,6
ISOTRETINOIN,6
ISOX,6
ITD-1,6
ITK INHIBITOR,6
IVABRADINE HYDROCHLORIDE,6
IVACAFTOR,6
IWP-2,6
JZL-184,6
KARTOGENIN,6
KETOTIFEN,6
KI-20227,6
KI20227,6
KRP-203,6
KRP-297,6
KU-0064,6
KW-2449,6
L-NAME,6
LAMIVUDINE,6
LDN-193189,6
LEVODOPA,6
LG-100268,6
LINIFANIB,6
LRRK2-IN-1,6
LY-2109761,6
LY-2886721,6
LY2940680,6
MASITINIB,6
MASOPROCOL,6
MEDROXYPROGESTERONE ACETATE,6
MELPHALAN,6
MESTRANOL,6
MG 149,6
MG-115,6
MG-149,6
MICONAZOLE NITRATE,6
MINOCYCLINE,6
MIZORIBINE,6
MK-3207,6
MK-886,6
ML-141,6
ML141,6
ML216,6
MLN-120B,6
MLN120B,6
MOCETINOSTAT,6
MOMELOTINIB,6
MONASTROL,6
MOSAPRIDE CITRATE,6
NCGC00168459-01,6
NCGC00188866,6
NCGC00189393,6
NCGC00238624,6
NCGC00241036,6
NCGC00241410,6
NCGC00241411,6
NCGC00242487,6
NCGC00244250,6
NCGC00247866,6
NCGC00249759,6
NCGC00250393-01,6
NCGC00253909-01,6
NCGC00262398,6
NCGC00262398-02,6
NCGC00263015,6
NCGC00263020,6
NCGC00263127-01,6
NCGC00263226-01,6
NCGC00263228-01,6
NCGC00263280-01,6
NCGC00346660-01,6
NCGC00346661-01,6
NCGC00381504-01,6
NEDAPLATIN,6
NERATINIB,6
NESBUVIR,6
NILUTAMIDE,6
NIRAXOSTAT,6
NORFLOXACIN,6
NSC 663284,6
NSC-23766,6
NU-7441,6
NVP-XAV-939,6
NYSTATIN,6
O6-BENZYLGUANINE,6
OCTOCRYLENE,6
OCTREOTIDE,6
OFLOXACIN,6
OLANZAPINE,6
OMIGAPIL,6
OSELTAMIVIR PHOSPHATE,6
OSI-420,6
OSI-632,6
PANTOPRAZOLE,6
PARBENDAZOLE,6
PAROGRELIL,6
PD-0220245,6
PD-166285,6
PD-166793,6
PD-173074,6
PD166285,6
PDHK RIKEN,6
PEFLOXACIN,6
PENTAGASTRIN,6
PEPSTATIN,6
PERINDOPRIL,6
PHLORIZIN,6
PICEATANNOL,6
PIK-75,6
PIM 1 INHIBITOR 2,6
PIM-1 INHIBITOR 2,6
PIPERINE,6
PIRAXOSTAT,6
PITAVASTATIN CALCIUM,6
PIZOTIFEN,6
PK 11195,6
PK-11195,6
PKI-402,6
PLURIPOTIN,6
PNU-74654,6
POLYDATIN,6
POSACONAZOLE,6
PP242,6
PRACINOSTAT,6
PRAVASTATIN SODIUM,6
PREGABALIN,6
PREGNENOLONE,6
PROPARACAINE,6
PROPOFOL,6
PROSTAGLANDIN E2,6
PRT-060318,6
PRULIFLOXACIN,6
PUERARIN,6
PURVALANOL A,6
PYRIDONE 6,6
PYROXAMIDE,6
QCR-20,6
QS11,6
QUIZARTINIB,6
R-406,6
RAMATROBAN,6
RAMIPRIL,6
RD 162,6
RD-162,6
REGORAFENIB,6
RESVERATROL,6
RETIGABINE,6
REVERSINE,6
RG-108,6
RHEIN,6
RIFAXIMIN,6
RILMENIDINE,6
RISEDRONATE SODIUM,6
RO-4929097,6
RO4929097,6
ROCURONIUM BROMIDE,6
S-(+)-ROLIPRAM,6
SALICIN,6
SHIKIMIC ACID,6
SITAFLOXACIN HYDRATE,6
SL-327,6
STREPTOZOCIN,6
SUPLATAST TOSYLATE,6
TELAPREVIR (VX-950),6
SA-13353,6
SB 206553,6
SB 265610,6
SCHEMBL1461351,6
SCHEMBL16126186,6
SCHEMBL2227980,6
SCHEMBL2300706,6
SCHEMBL3619307,6
SECINH3,6
SSR 69071,6
TIPLAXTININ,6
VX-11E,6
S-99,6
SB-3CT,6
SD-06,6
SECOISOLARICIRESINOL,6
SERATRODAST,6
SHIKONIN,6
SIPATRIGINE,6
SIVELESTAT,6
SPAUTIN-1,6
SPERMIDINE,6
STX-0119,6
TAKEDA-6D,6
TAURINE,6
TERAMEPROCOL,6
TRAM-34,6
TUBACIN,6
TUBASTATIN A,6
VARDENAFIL,6
VIDOFLUDIMUS,6
VINORELBINE TARTRATE,6
WAY-100635,6
WHI-P97,6
WYE-687,6
YW3-56,6
ETOXIMIR,6
SAQUINAVIR MESYLATE,6
RWJ-67657,6
S6K-18,6
SB-203580,6
SB-206553,6
SB-216763,6
SB-265610,6
SB-431542,6
SB-525334,6
SCH-79797,6
SECIN H3,6
SELISISTAT,6
SERDEMETAN,6
SG-00529,6
SGI-1776,6
SILMITASERTIB,6
SJN-2511,6
SONIDEGIB,6
SR 33805,6
SRT-1720,6
SSR-69071,6
TAE-684,6
TALADEGIB,6
TANDUTINIB,6
TEPP-46,6
TG-101348,6
TIPLASININ,6
TIVOZANIB,6
TOSEDOSTAT,6
TUROFEXORATE ISOPROPYL,6
U-73122,6
UBENIMEX,6
VAPIPROST HYDROCHLORIDE,6
VELIPARIB,6
VER-155008,6
WNT-C59,6
WZ-4002,6
ZIBOTENTAN,6
TEMSIROLIMUS,6
TRANILAST,6
TRIFLURIDINE,6
URIDINE,6
URSODIOL,6
URSOLIC ACID,6
VITAMIN B12,6
VX-765,6
(6-)E-<U+200B>AMINOCAPROIC ACID,5
17 ALPHA-PROPIONATE,5
3-INDOLEBUTYRIC ACID (IBA),5
4-METHYLUMBELLIFERONE (4-MU),5
7-HYDROXYSTAUROSPORINE,5
ABT-751 (E7010),5
AC480 (BMS-599626),5
ACICLOVIR,5
AG-1478 (TYRPHOSTIN AG-1478),5
ALOXISTATIN,5
AMFEBUTAMONE HCL,5
ANACETRAPIB (MK-0859),5
ASENAPINE MALEATE,5
AT13387,5
AT7867,5
AT9283,5
ATALUREN (PTC124),5
AVAGACESTAT (BMS-708163),5
AZ 960,5
AZASETRON HYDROCHLORIDE,5
AZD2014,5
AZD4547,5
AZD5363,5
AZD5438,5
AZD8931 (SAPITINIB),5
BAFETINIB,5
BALSALAZIDE DISODIUM,5
BAM7,5
BARASERTIB (AZD1152-HQPA),5
BATIMASTAT (BB-94),5
BENSERAZIDE,5
BETA-SITOSTEROL,5
BETAINE,5
BIBR 1532,5
BIMATOPROST,5
BIO,5
BIOYMIFI,5
BIX 02189,5
BTZ043 RACEMATE,5
BUDESONIDE,5
BUTYLSCOPOLAMINE BROMIDE,5
BYL719,5
CAFFEINE,5
CALPEPTIN,5
CAPSAICIN,5
CCT128930,5
CCT129202,5
CCT137690,5
CEP-18770 (DELANZOMIB),5
CERULENIN,5
CH5132799,5
CHLORHEXIDINE,5
CHRYSOPHANIC ACID,5
CLINDAMYCIN PALMITATE HCL,5
CLOPIDOGREL BISULFATE,5
CORDYCEPIN,5
CROTAMITON,5
CUCURBITACIN I,5
CX-6258,5
CYCLOBENZAPRINE HYDROCHLORIDE,5
D-PANTOTHENIC ACID,5
DABRAFENIB (GSK2118436),5
DACLATASVIR DIHYDROCHLORIDE,5
DAIDZIN,5
DAPT (GSI-IX),5
DAUNORUBICIN,5
DBEQ,5
DEXRAZOXANE HYDROCHLORIDE,5
DIENESTROL,5
DIGOXIN,5
DIOSMETIN,5
DMXAA (VADIMEZAN),5
DORZOLAMIDE HYDROCHLORIDE,5
ELTROMBOPAG OLAMINE,5
ENTECAVIR,5
EPLERENONE,5
ERGOSTEROL,5
ESTRAMUSTINE,5
ETHISTERONE,5
EVODIAMINE,5
FENTICONAZOLE NITRATE,5
FG-4592,5
FLUNISOLIDE,5
FT-207 (NSC 148958),5
GALETERONE,5
GDC-0980 (RG7422),5
GENIPOSIDE,5
GINKGOLIDE A,5
GNF-5837,5
GO 6983,5
GSK1070916,5
GSK1292263,5
GSK1838705A,5
GSK256066,5
GSK2636771,5
GSK429286A,5
GW4064,5
GW441756,5
GW788388,5
GW842166X,5
H-89,5
HA14-1,5
HER2-INHIBITOR-1,5
HESPERETIN,5
HMN-214,5
HYODEOXYCHOLIC ACID,5
I-BET-762,5
I-BET151 (GSK1210151A),5
IDARUBICIN HYDROCHLORIDE,5
ILOMASTAT,5
INCB28060,5
INGENOL MEBUTATE,5
IPI-145 (INK1197),5
IPRIFLAVONE (OSTEOFIX),5
ISOCONAZOLE NITRATE,5
JNJ-38158471,5
JNK-IN-8,5
KI16425,5
KI8751,5
KRN 633,5
KU-55933 (ATM KINASE INHIBITOR),5
KY02111,5
LACTULOSE,5
LAROPIPRANT,5
LFM-A13,5
LUTEOLIN,5
LY2603618,5
LY2784544,5
LY2811376,5
LY294002,5
LY411575,5
M344,5
MCOPPB,5
MEK162,5
METHSCOPOLAMINE BROMIDE,5
MK-2866 (GTX-024),5
MLN8054,5
MOXONIDINE,5
NAPROXEN SODIUM,5
NATAMYCIN,5
NCGC00179649-07,5
NERATINIB (HKI-272),5
NICOTINAMIDE (VITAMIN B3),5
NICOTINIC ACID,5
NORADRENALINE BITARTRATE MONOHYDRATE,5
NU6027,5
NVP-ADW742,5
NVP-BVU972,5
ODANACATIB (MK-0822),5
OLEANOLIC ACID,5
OMECAMTIV MECARBIL (CK-1827452),5
OPROZOMIB (ONX 0912),5
ORANTINIB,5
OROTIC ACID (6-CARBOXYURACIL),5
OSU-03012 (AR-12),5
OXAMFLATIN,5
OXANDROLONE,5
OXYTETRACYCLINE (TERRAMYCIN),5
PAPAVERINE HYDROCHLORIDE,5
PD184352 (CI-1040),5
PD318088,5
PD98059,5
PENTAMIDINE ISETHIONATE,5
PF-543,5
PF-562271,5
PF562271,5
PHA-767491,5
PHENELZINE,5
PIMASERTIB (AS-703026),5
PIOGLITAZONE,5
PNU-282987,5
PRANLUKAST HYDRATE,5
PREDNISOLONE ACETATE,5
PROCATEROL HYDROCHLORIDE,5
QUISINOSTAT (JNJ-26481585),5
R547,5
REBECCAMYCIN,5
RIBOFLAVIN,5
RIFAPENTINE,5
RITA (NSC 652287),5
ROBOTNIKININ,5
ROCILINOSTAT (ACY-1215),5
S3I-201,5
SAR245409 (XL765),5
SB408124,5
SB415286,5
SB505124,5
SB705498,5
SCOPINE,5
SEMAGACESTAT (LY450139),5
SNX-2112 (PF-04928473),5
SP600125,5
STEMREGENIN 1 (SR1),5
STIGMASTEROL,5
STREPTOMYCIN SULFATE,5
SULINDAC,5
TAE226 (NVP-TAE226),5
TEMOCAPRIL HCL,5
VATALANIB (PTK787) 2HCL,5
SB-743921,5
TELOTRISTAT ETIPRATE,5
TG100-115,5
TG101209,5
TIE2 KINASE INHIBITOR,5
TWS119,5
UK 383367,5
URB597,5
VARESPLADIB (LY315920),5
VARLITINIB,5
VU 0357121,5
VX-809 (LUMACAFTOR),5
WYE-125132 (WYE-132),5
WZ3146,5
WZ8040,5
YM201636,5
ZM 336372,5
ZM 447439,5
ZOSUQUIDAR (LY335979) 3HCL,5
ZSTK474,5
S-TRITYL-L-CYSTEINE,5
SALBUTAMOL SULFATE,5
SELEGILINE HYDROCHLORIDE,5
SOFOSBUVIR,5
SUMANIROLE MALEATE,5
TEICOPLANIN,5
TELITHROMYCIN,5
TESMILIFENE HYDROCHLORIDE,5
TOBRAMYCIN,5
VALSPODAR,5
VINFLUNINE,5
WARFARIN SODIUM,5
YOHIMBINE,5
TOLTERODINE TARTRATE,5
VARENICLINE TARTRATE,5
(PHENYLINDOLYL)MALEIMIDE DERIV. 79,4
1-(1-NAPHTHYLMETHYL)PIPERAZINE,4
1-(4-FLUOROPHENYL)-3-(3-(4-FLUOROPHENYL)-3-HYDROXYPROPYL)-4-(4-HYDROXYPHENYL)AZETIDIN-2-ONE,4
1-DOCOSANOL,4
1-METHYL-D-TRYPTOPHAN,4
10-DEACETYLBACCATIN,4
10-EPI-ACLACINOMYCIN A,4
1047953-91-2,4
1072959-67-1,4
108605-62-5,4
1096708-71-2,4
1144035-53-9,4
1155877-97-6,4
118414-82-7,4
124936-75-0,4
1262770-73-9,4
130332-27-3,4
1314241-44-5,4
131848-97-0,4
1346528-06-0,4
141400-58-0,4
1429617-90-2,4
153436-54-5,4
16-16-DIMETHYL PGE2,4
164178-33-0,4
164658-13-3,4
17-HYDROXY WORTMANNIN,4
176977-56-3,4
17_-HYDROXY WORTMANNIN,4
180083-23-2,4
185039-99-0,4
193746-75-7,4
199433-58-4,4
1H-INDOLE-5-CARBOXAMIDE,4
"2-(3,7,11-TRIMETHYLDODECA-2,6,10-TRIENYLSULFANYL)BENZOIC ACID",4
2-({[4-(3-METHOXYPROPOXY)-3-METHYLPYRIDIN-2-YL]METHYL}SULFINYL)BENZIMIDAZOL-1-IDE,4
2-DEOXYGALACTOPYRANOSE,4
2-DEOXYGLUCOSE,4
211915-06-9,4
218137-86-1,4
227088-94-0,4
3-BROMOPYRUVATE,4
3-INDOLEBUTYRIC ACID,4
303727-31-3,4
309928-48-1,4
314042-01-8,4
330161-87-0,4
38194-50-2,4
"3\',4\'-DIACETYLAFZELIN",4
4-METHYLUMBELLIFERONE,4
4-QUINAZOLINAMINE,4
405554-55-4,4
409345-29-5,4
431979-47-4,4
449811-92-1,4
473382-39-7,4
476477-15-3,4
5-CHLORO-N-((2-OXO-3-(4-(3-OXOMORPHOLINO)PHENYL)OXAZOLIDIN-5-YL)METHYL)THIOPHENE-2-CARBOXAMIDE,4
5-HYDROXY-L-TRYPTOPHAN,4
5-HYDROXYTRYPTOPHAN,4
56990-57-9,4
58131-57-0,4
"6-(7-HYDROXY-6,7-DIHYDRO-5H-PYRROLO[1,2-C]IMIDAZOL-7-YL)-N-METHYL-2-NAPHTHAMIDE",4
6-BROMOINDIRUBIN-3'-ACETOXIME,4
667463-62-9,4
67469-78-7,4
7728-73-6,4
8-CL-ADO,4
80306-38-3,4
842166X,4
865362-74-9,4
885692-52-4,4
888719-03-7,4
906673-24-3,4
928774-43-0,4
936091-15-5,4
936091-56-4,4
944396-88-7,4
A 839977,4
A-66,4
A-740003,4
A-839977,4
A-922500,4
A-966492,4
ABC-294640,4
ABEXINOSTAT,4
AC-480,4
AC1LAYFC,4
AC1LU7HW,4
AC1MWLHC,4
AC1NUNML,4
AC1OF4NF,4
ACEMETACIN,4
ACHP,4
ACLARUBICIN,4
ACY-1215,4
ACYCLOVIR,4
ADL-5859,4
ADW-742,4
AG-13958,4
AG-1478,4
AK198640,4
AKT-I-1,4
"AKT-I-1,2",4
AKT-I-1-2,4
ALIBENDOL,4
ALPELISIB,4
AM-630,4
AMANTADINE HYDROCHLORIDE,4
AMD 473,4
AMILORIDE HYDROCHLORIDE,4
AMINOCAPROIC ACID,4
AMOROLFINE,4
AMOROLFINE HYDROCHLORIDE,4
AMYGDALIN,4
AN-2728,4
ANACETRAPIB,4
ANSAMITOCIN P3,4
APRESOLINE,4
AR-7,4
ARECOLINE,4
ARRY-162,4
ARRY-380,4
AS-1949490,4
AS-602801,4
AS1949490,4
AS601245,4
ASARALDEHYDE,4
ASP-3026,4
ASP3026,4
AT-7867,4
AT-9283,4
ATOPAXAR,4
AURANTIAMARIN (METHYL HESPERIDIN),4
AVAGACESTAT,4
AZ-10606120,4
AZ-11645373,4
AZ-960,4
AZ-TAK1 INHIBITOR,4
AZD-4547,4
AZD-5363,4
AZD-5438,4
AZOMYCIN,4
AZTREONAM,4
BAF-312,4
BAM-7,4
BATIMASTAT,4
BAY 61-3606,4
BAY61-3606,4
BAZEDOXIFENE ACETATE,4
BERGENIN,4
BETA-CAROTENE,4
BIBR-1048,4
BILOBALIDE,4
BIO-ACETOXIME,4
BIX-02189,4
BMS 299897,4
BMS-2,4
BMS-299897,4
BMS-378806,4
BMS-707035,4
BMS-833923,4
BROMHEXINE HYDROCHLORIDE,4
BS-194,4
BS194,4
BTZ-10526043,4
BUFLOMEDIL HYDROCHLORIDE,4
BUPROPION HYDROCHLORIDE,4
BUTHIONINE SULFOXIMINE,4
BUTHIONINE SULPHOXIMINE,4
C-188-9,4
C188-9,4
C75,4
CA-074 ME,4
CAA-0225,4
CALCIUM FOLINATE,4
CAPMATINIB,4
CARDIOGENOL,4
CARDIOGENOL C,4
CB 300919,4
CCT-128930,4
CCT-129202,4
CCT-137690,4
CCT-241533,4
CDK4/6 INHIBITOR IV,4
CDK\\/CRK INHIBITOR,4
CEFDINIR,4
CEFDITOREN PIVOXIL,4
CEFOPERAZONE SODIUM,4
CELASTROL,4
CEP-32496,4
CGP-60474,4
CGS-21680,4
CH-5132799,4
CHELERYTHRINE,4
CHEMBL1090466,4
CHEMBL1242367,4
CHEMBL130321,4
CHEMBL1706858,4
CHEMBL178737,4
CHEMBL1836853,4
CHEMBL1950303,4
CHEMBL2018451,4
CHEMBL2052019,4
CHEMBL2132441,4
CHEMBL2133870,4
CHEMBL2134570,4
CHEMBL2138817,4
CHEMBL2140838,4
CHEMBL2141387,4
CHEMBL2144690,4
CHEMBL2144820,4
CHEMBL258696,4
CHEMBL3185811,4
CHEMBL3185999,4
CHEMBL3188517,4
CHEMBL3348829,4
CHEMBL3348883,4
CHEMBL3348886,4
CHEMBL3348890,4
CHEMBL3348894,4
CHEMBL3348954,4
CHEMBL3348956,4
CHEMBL3348975,4
CHEMBL3349002,4
CHEMBL3349004,4
CHEMBL3856067,4
CHEMBL431383,4
CHEMBL562308,4
CHEMBL75474,4
CHLORAMPHENICOL,4
CHLORMETHINE,4
CHRYSOPHANOL,4
CILENGITIDE,4
CINCHONINE DIHYDROCHLORIDE,4
CK-59,4
CLINDAMYCIN HCL,4
CLINDAMYCIN PALMITATE,4
CLOMIPRAMINE HYDROCHLORIDE,4
CNX-774,4
COMPOUND 7,4
CONIVAPTAN,4
CONIVAPTAN HYDROCHLORIDE,4
COT INHIBITOR-2,4
CT-98014,4
CYCLOCYTIDINE HYDROCHLORIDE,4
CYCLOSPORINE A,4
CYPROHEPTADINE HYDROCHLORIDE,4
D-159687,4
D-PENICILLAMINE,4
DABRAFENIB,4
DACINOSTAT,4
DANOPREVIR,4
DAPHNETIN,4
DEHYDROEPIANDROSTERONE,4
DELANZOMIB,4
DICLOFENAMIDE,4
DIGITOFLAVONE,4
DIHYDROMYRICETIN,4
DIHYDROQUERCETIN,4
DIINDOLYLMETHANE,4
DILTIAZEM HYDROCHLORIDE,4
DIOSGENIN,4
DIPHENHYDRAMINE,4
DMEP,4
DOCOSANOL,4
DOPAMINE HYDROCHLORIDE,4
DORIPENEM,4
DOXOFYLLINE,4
E-7010,4
E5555,4
ECDYSONE,4
EMD-1214063,4
EO 1428,4
EO-1428,4
EPIRUBICIN HYDROCHLORIDE,4
ERASTIN,4
ERGOSTERINE,4
ESTETROL,4
ETHINYLESTRADIOL,4
